연번,지적건명,지적내용,처분사항
13,시간외 근무수당 수령 부적정,"- 명지대학교 L은(는) 2019. 3. 5. 18:40부터 20:15까지 ●●대학원 ㄷ 수강중으로 시간외 근무가 불가한데도 같은 날 19:00부터 22:00까지의 시간외 근무수당 33,000원을 수령하는 등【붙임】“대학원 수강 중 시간외 근무수당 수령 현황”과 같이 2019. 3.부터 2019. 11. 까지 위 L 등 명지대학교 직원 3명은 대학원 수강중 으로 시간외 근무가 불가한데도 같은 날 동일(중복) 시간의 시간외 근무 총 10건에 대한 수당 합계 308,000원을 수령한","경고(2명); 주의(1명); 시정(회수) - 부당하게 지급된 시간외 근무수당 합계 308,000원을 당사자들로부터 회수하여 관련 회계에 세입조치 하기 바람"
14,외부강의등 미신고,"- 명지대학교 M은(는) 2018. 12. 17.부터 12. 18.까지 ■■ 에서 ‘ㄹ 강연’을 실시하고도 소속기관장에 신고하지 않는 등【붙임1】“외부강의등 미신고 현황”과 같이 2018. 3.부터 2021. 11. 감사일 현재까지 위 M 등 교 원 17명은 총 39건의 외부강의등을 실시하고도 소속 기관장에 신고하지 않은 사실이 있고, <①관련> ◦경고(1명) ◦주의(16명) <②관련> ◦기관주의 ◦통보 - 향후 교직원들의 외부강의 관리에 철 저 를 기 하 기 바 람 연 번 지 적 사 항 처 분 【외부강의등 사례금 미신고】-------------------------...",경고
15,교육용 기본재산 관리 부적정,"- 학교법인 명지학원은 1987. 10. 6. 이사회의 심의·의결을 거치지 아니한 채 서울특별시 ㅂ 소재 토지(32㎡)를 취득 (1997. 4. 29. 사후 심의) 하는 등【붙임】“▶▶ 관련 교육용 기본재산 현황” ‘비고’란 기재와 같이 1987. 부터 2011.까지 총 6차례에 걸쳐 이사회 심의·의결을 거치지 아니한 채 위 ㅂ 소재 토지(32㎡) 등 9개의 교육용 재산을 취득 (미심의 3개, 사후 심의 6개) 한 사실 이 있음 【재산현황 미보고 및 과오보고에 관한 사항】-------② - 또한, 학교법인 명지학원은 1994. 4. 28. 개최한 이사회 에서 서울특별...",통보
16,교육용 기본재산 처분대금 완수 전 소유권 부당 이전,"- 명지대학교 N은(는) 2021. 5. 13. 학교법인 명지학원 및 명지대학교가 ▼▼와(과) 계약한 2개 필지(354㎡), 16개 필지(364,773㎡) 등 교육용 기본재산 총 18개 필지(365,127㎡)에 대한 매매계약을 추진하면서, ▼▼ (으)로부터 계약서 상의 지정일자가 지나도록 계약 금과 잔금을 납부받지도 않았고, 지정일자 (2021. 5. 28.) ◦중징계(해임, 1명) ◦경고(1명) 연 번 지 적 사 항 처 분 이후인 2021. 8. 10. 위 토지 매매대금 합계 43,580백 만원 중 2,000백만원만 교비회계로 납부 (41,580백만원은 미납) 받았...",감사결과 처분서 기관명 : 명지대학교
17,징계위원회 수당 교비회계 집행 부적정,"- 명지대학교는 2018. 8. 22. 학교법인 명지학원 소관인 교원징계위원회 회의 참석수당 (회의일시 : 2018. 6. 28., 2018. 7. 24.) 합계 2,050천원을 교비회계에서 집행하는 등 【붙임】“법인 소관 징계위원회 수당 교비회계 집행 현황”과 같이 2018학년도부터 2021학년도 감사일 현재 까지 위 학교법인 명지학원 소관인 징계위원회 회의 참석 수당 총 8회, 금액 합계 18,350천원을 교비회계 에서 집행한","경고(6명); 시정 - 교비회계에서 지급한 징계위원회 회의 참석수당 합 계 18,350천 원 을 법 인 회 계 에 서 교비회계로 전출 하기 바람 【붙임】 법인 소관 징계위원회 수당 교비회계 집행 현황 (단위 : 원) 연번 회의일시 내 용 지급인원 집행일 금 액 지출과목 1 2018.6.28./ 2018.7.24. - - 2018.8.22. 2,050,000 교원제수당 2 2018.12.26. - - 2019.1.14. 500,000 직원제수당 3 2018.12.27./ 2019.1.28. - - 2019.2.27. 3,200,000 교원제수당 4 2019.2.27./ 2019.3.27. - - 2019.4.12. 3,200,000 교원제수당 5 2019.4.2./ 2019.4.17. - - 2019.5.8. 400,000 직원제수당 6 20…"
18,임대료 보증금 계좌 관리 부적정,"- 명지대학교는 2019. 2. 1.부터 2021. 1. 31.까지 인문 캠퍼스에 입주한 ◀◀(으)로부터 임대보증금 20,000 천원을 납부 받은 후 별도의 계좌로 관리하지 않고 운영비 계좌로 관리하는 등【붙임】“학교시설 임대 보증금 관리 부적정 현황”과 같이 2019. 2.부터 2021. 11. 감사일 현재까지 위 ◀◀ 등 5개 업체가 납부한 임대 보증금 합계 95,040천원을 별도 계좌로 관리하지 않고 운영비 계좌로 관리한",원문 본문 OCR 필요
19,교내연구 수행 부적정,"- 명지대학교 O은(는) 2020. 3. 26. ‘ㅋ 연구’를 교내연구 과제로 교원일반연구비 4,000천원을 수령하고, 2021. 3. 22. 연구가 진행중인 위 연구과제의 연구계획서에 연도만 수정 제출한 후 교내연구비 400만원을 추가로 수령한 사실이 있음 <①관련> ◦경고(1명) ◦통보 - 동일한 연구계획을 제 출 한 O 에 대하여 연구계획 변경 또 는 환수 등 관련 규정에 따라 처리 하기 바람 <②관련> ◦경고(3명) ◦주의(3명) 연 번 지 적 사 항 처 분 연번 학기 신청일 연구과제명 연구시작 연구종료 금액 1 2020-1 2020.03.26. - 2020....",【붙임】 연구실적물 미제출 현황 연번 학 과 직급 성명 구분 연구과제명 연구기간 제출 기한 초과일수 (2021.11.15. 감 사 일 기준) 시작일 종료일 1 - - - 연구년 과제 - 2018.03.01 2019.02.28. 2021.02.28 261 2 - - - 연구년 과제 - 2018.09.01 2019.02.28. 2021.02.28 261 3 - - - 연구년 과제 - 2018.09.01 2019.02.28. 2021.02.28 261 4 - - - 연구년 과제 - 2018.09.01 2019.08.31. 2021.08.31 77 5 - - - 연구년 과제 - 2019.03.01 2019.08.31. 2021.08.31 77 6 - - - 교내 연구비 - 2018.10.01 2019.09.30 2021.09.30 107 감사결과…
20,타인 학위논문 활용 교내연구비 부당 수령,"- 명지대학교 Q은(는) 2019. 3. 25. ‘ㅌ 연구 (연구기간 ’19.4.1. ~ ’20.3.31.) ’라는 제목으로 교내연구과제를 신청하여 연구비 3,000천원을 지원받고, 본인이 지도교수로 참여한 대학원 ◆◆학과 석사과정생 R의 석사학위 논문인 ‘ㅍ’ (2018.12.24. 논문심사) 와 동일한 제목, 주제 및 내용 으로 요약하여 2021. 4. 7. 학술지에 게재하고 교내 연구비 결과물로 제출하는 등【붙임】“제자 학위논문 활용 교내연구비 부당 수령 현황”과 같이 2019. 4. 1. 부터 2021. 4. 7.까지 위 Q 등 교원 2명은 위 연구 등 교내연...",원문 본문 OCR 필요
21,현장실습 점검 미실시,- 명지대학교 현장실습지원센터는 2019. 7. 1.부터 2019. 8. 9.(6주)까지 S이(가) ‘◑◑’에서 현장실습을 하였음 에도 현장 및 서면점검을 실시하지 않는 등【붙임】 “LINC+사업 현장실습 점검 미실시 현황”과 같이 ◦기관경고 연 번 지 적 사 항 처 분 2019. 7. 1.부터 2021. 8. 25.까지 위 S 등 현장실습 학생 63명이 현장실습을 실시하였음에도 현장 및 서면점검 을 실시하지 않은,경고
22,인센티브 관련 평가 결과 미심의 ․ 미의결,"- 명지대학교 T은(는) 2019. 2. 1. 본인에 대하여 평가 점수 ‘94점’, 평가등급 ‘S(최고등급)’를 부여한 후 사업 추진위원회 심의·의결도 거치지 않는 등【붙임】“T 인센티브 관련 평가 미심의․미의결 현황”과 같이 2019. 2.부터 2021. 2.까지 위 T은(는) LINC+ 육성사 업을 수행하면서 총 3회에 걸쳐 본인에 대하여 평가 등급 ‘S’를 부여한 후 사업추진위원회 심의·의결도 거치지 않은","경고(1명) <별도조치>; 통보 (관련기관) - 본 인 이 본 인 을 평가하여 인센 티브를 지급한 사례를 통보하니 업무에 참고하시기 바람 【붙임】 T 인센티브 관련 평가 미심의․미의결 현황 (단위 : 천원) 연번 연도 피평가자 평가자 평가점수 평가순위 (총피평가자수 -직원포함) 평가등급 수령액 수령일 1 2018 - - 94.0 1위(13명) S 2,500 2019.02.28. 2 2019 - - 100.0 1위(22명) S 2,970 2020.02.20. 3 2020 - - 94.4 1위(20명) S 3,816 2021.02.09. 합 계 9,286 감사결과 처분서 기관명 : 명지대학교"
23,전문가 자문료 집행 부당,"- 명지대학교 U은(는) 2020. 10. 29. ‘ㅎ 연구’ 과제의 연구보조자로 참여하면서, 2020. 10. 25. ‘ㄲ’에 대한 자문 명목으로 본인의 배우자인 V에게 자문을 요청 하는 내용을 담은 전문가 활용 업무 요청서 (1차, 2020.9.21.~2020.10.23., 연구책임자 명의) 를 작성하고, 실제 로 본인이 자문의견서를 작성하고도 위 V(으)로부터 2020. 11. 9.부터 2020. 11. 20.까지 10일간 50시간 자문 을 받은 것처럼 자문의견서를 작성하여 제출한 후, 2020. 10. 29. 위 V에게 전문가 자문료 10,000천원을 지급하는...","【붙임】 전문가 자문료 부당 집행 현황 (단위 : 천원) 연번 과 제 명 지원기관 과제번호 과제책임자 (공동연구자) 연구기간 자문위원 자문내역 자문날짜 (횟수) 실제 작성자 지급일자 지급액 수령인 (은행명) 소속 직위 성명 1 - 2020.09.30.~ 2020.12.20. - - - - 2020.10.12.~ 2020.10.23. (10회) - 2020.10.29. 10,000 2020.09.30.~ 2020.12.20. - - - - 2020.11.09.~ 2020.11.20. (10회) - 2020.12.01. 10,000 2019.09.01.~ 2022.02.28. - 2차연도 - - - - 2020.11.11. 2020.11.18. 2020.11.25. (3회) - 2021.01.28. 2,400 2019.09.01.~ 2022.0…"
24,외국인 학생 학적관리 부적정,- 명지대학교는 외국인 학생 W이(가) 2019. 9. 30. 휴학 후 1년 이상 복학하지 않고 소재불명 상태인데도 제적 여부 검토 없이 휴학생으로 관리하고 있는 등【붙임】 “외국인 학생 학적관리 부적정 현황”과 같이 휴학 후 1년 이상 복학하지 않고 소재불명 상태인 외국인 학생 28명에 대해 제적 여부 검토 없이 휴학생으로 학적을 관리한,기관경고; 통보 - 휴학 후 1년 이상 복학하지 않고 소재불명 상태인 외국인 학생에 대하여는 관련 규정에 따라 조치하기 바람 【붙임】 외국인 학생 학적관리 부적정 현황 연번 성 명 학 번 입학일자 국 적 체 류 자 격 체 류 만료일 휴학일 학적상태 비고 1 - - ‘17.08.28 - - ‘19.09.30 ‘19.09.30 일반휴학 소재불명 2 - - ‘18.09.03 - - ‘19.09.30 ‘19.09.30 일반휴학 소재불명 3 - - ‘17.08.28 - - ‘20.01.03 ‘19.09.30 일반휴학 소재불명 4 - - ‘18.09.03 - - ‘20.01.03 ‘19.09.30 일반휴학 소재불명 5 - - ‘18.09.03 - - ‘20.06.24 ‘20.03.30 일반휴학 소재불명 6 - - ‘19.03.04 - - ‘20.08.…
25,전임교원 일반대학원 미허가 입학,- 명지대학교 ◒◒학과 X은(는) 명지대학교에 재직하면서 대학원위원회의 심의와 총장의 허가 없이 2015. 3. 2. 부터 2019. 2. 12.까지 본인이 소속된 ◒◒학과 일반 대학원 석·박사 통합과정에 재학한,경고(1명) 감사결과 처분서 기관명 : 명지대학교
26,조교 수업 진행 및 보강 미실시 등,"- 명지대학교 Y은(는) 2018. 9. 17. ‘ㄲ’ 과목에 대하여 해외 체류 기간 (2018. 9. 17. ~ 9. 21.) 에 보강하는 것으로 계획서 (보강예정일 : 2018. 9. 19., 보강시수 : 1시간) 를 제출 하고 위 과목 수업을 조교에게 진행하게 하는 등 【붙임1】“담당 교과목 조교 수업 진행 현황”과 같이 2018학년도 1학기부터 2019학년도 2학기까지 위 Y 등 ◦경고(17명) ◦통보 - 수 업 은 관 련 법 령 등 이 정 하 는 바 에 따 라실 시 하 기바 람 연 번 지 적 사 항 처 분 교원 11명은 위 ‘ㄲ’ 과목 등 11개 교과목, 총...",【붙임1】 담당 교과목 조교 수업 진행 현황 연도 학기 학 과 직 성명 과목명 결강일 결강 사유 결강 시수 보강계획 제출일 보강계획 승인여부 보강일자 출국일 입국일 2018 2 - - - 09 1 2018 10 O 2018 17 2018 16 2018 21 2018 2 2018 18 - 2 2018 10 O 2018 18 2018 16 2018 21 2018 2 2018 19 - 2 2018 10 O 2018 19 2018 16 2018 21 2018 2 2018 20 - 1 2018 10 O 2018 20 2018 16 2018 21 2019 2 10 1 2019 25 O 2019 21 2019 21 2019 25 2019 2 2019 22 - 2 2019 25 O 2019 22 2019 21 2019 25 2019 2 2019 23 -…
27,재수강 과목 성적 부여 부적정,- 명지대학교는 재수강 신청 학생에 대한 수강시스템 성적 상한 제한 조치를 하지 않아 2018학년도 1학기 “ㄸ” 교과목을 재수강한 Z 학생이 재수강 성적 A+ (상한 A0) 을 부여받는 등【붙임】“재수강 교과 성적 상한 미조치 성적 부여 현황”과 같이 2018학년도 1학기 부터 2020학년도 2학기까지 수강시스템 성적 부여 상한 제한 조치를 하지 않아 위 Z 등 학생 7명이 재 수강한 과목 성적이 취득 가능 최고 성적 기준을 초 과하여 A0~A+을 부여받은,기관경고; 통보 - 재수강생에 대한 성적 상한 제한 조치를 하지 않아 취득 가능 최고 성적 기준을 초과 하여 부여받은 재 수 강 교 과 성 적 에 대해 학칙 등이 정하는 바에 따라 적정한 조치를 하기 바람 【붙임】 재수강 교과 성적 상한 미조치 성적 부여 현황 연번 학기 소 속 직 성 명 교과목명 (학점) 학 과 학 번 학생 명 원성적 재수강 성적 1 2018 - - - - - - C+ A+ 2 2019 - - - - - - C+ A0 3 2019 - - - - - - F A+ 4 2019 - - - - - - B+ A0 5 2020 - - - - - - F A+ 6 2020 - - - - - - F A+ 7 2020 - - - - - - F A+ 감사결과 처분서 기관명 : 명지대학교
28,장학금 초과 지급,"- 명지대학교는 2018. 4. 25. “ㄱㄴ” 연수장학금을 지급 하면서 AA에게 연수장학금(2종) 상한액 (2,000천원) 보다 1,500천원을 초과한 3,500천원을 지급하는 등【붙임】 “연수장학금(2종) 초과 지급 현황”과 같이 2018학년 도부터 2019학년도까지 위 AA 등 학생 180명에게 연수장학금(2종) 상한액보다 적게는 940천원에서 많게는 1,500천원까지 합계 239,600천원을 초과하여 지급한","기관주의; 통보 - 규정 등에 맞게 장학금을 지급 하기 바람 【붙임】 연수장학금(2종) 초과 지급 현황 (단위 : 원) 연번 년도 학기 학 과 학년 학 번 성 명 장학금 지급 현황 상한액 실 지급액 초과 지급액 1 2018 1 - - - - 2,000,000 3,500,000 1,500,000 2 2018 1 - - - - 2,000,000 3,500,000 1,500,000 3 2018 1 - - - - 2,000,000 3,500,000 1,500,000 4 2018 1 - - - - 2,000,000 3,500,000 1,500,000 5 2018 1 - - - - 2,000,000 3,500,000 1,500,000 6 2018 1 - - - - 2,000,000 3,500,000 1,500,000 7 2018 1 - - - - 2,…"
29,출석기준 미충족자 성적부여,- 명지대학교 AB은(는) 2018학년도 1학기 ‘ㅃ 과목 수업 시수 48시간 중 27시간을 결석한 AC ) 에게 ‘A ⁺ ’ 학점을 부여하는 등【붙임】“출석기준 미충족자 학점 부여 현황”과 같이 2018학년도부터 2021학년도 1학기까지 위 AB 등 교원 25명은 위 AC 등 학기 수업시수의 5분의 4 이상을 출석하지 아니한 학생 32명에게 ’D0‘에서 ’A+‘까지 학점을 부여한,경고(25명); 통보 - 출석기준 미충족 학생 32명에게 부여한 학점을 학칙 등이 정하는 바에 따라 처리 하기 바람 【붙임】 출석기준 미충족자 성적 부여 현황 연번 학기 소 속 직 성 명 교 과 목 명 (학점) 학생학 번 학생명 총 시수 출석 기준 시수 출석 시수 부여 학점 1 2018 - - - - - 48 38.4 21 A+ 2 2018 - - - - - 48 38.4 12 A0 3 2018 - - - - - 48 38.4 3 D+ 4 2018 - - - - - 48 38.4 21 D+ 5 2018 - - - - - 48 38.4 25 D+ 6 2018 - - - - - 48 38.4 21 B+ 7 2018 - - - - - 48 38.4 18 D0 8 2018 - - - - - 32 25.6 20 D+ 9 2018 - - - - - 4…
30,시설공사 착공서류 미수령,"- 명지대학교는 2018. 5. 23. ◓◓와(과) 계약한 “ㅆ 공사” (계약금액 77,000천원, 공사기간 ‘18.5.23.~’18.6.22.) 를 착공하 면서 현장기술자 지정신고서 및 안전환경 및 품질관리 계획서 등이 포함된 착공신고서를 받지 않았음에도 계약상대자에게 착공계 제출을 요구하지 않는 등 【붙임】“시설공사 착공계 미수령 현황”과 같이 2018. 5.부터 2021. 8.까지 위 “ㅆ 공사” 등 총 16건 (계약금액 합계 2,898,791천원) 의 공사를 착공하면서 현장기술자 지정신고서 및 안전환경 및 품질관리계획서 등이 포 ◦기관경고 ◦통보 - 관련규정에...","【붙임】 시설공사 착공계 미수령 현황 (단위 : 천원) 연번 기관명 공 사 명 계약금액 계약일 착공일 준공 (예정)일 공사업체 (대표자명) 공사 담당자 1 자연캠퍼스 - 77,000 2018.5.23. 2018.5.23. 2018.6.22. - - 2 자연캠퍼스 - 62,480 2018.5.23. 2018.5.23. 2018.7.7. - - 3 자연캠퍼스 - 84,300 2018.7.12. 2018.7.23. 2018.8.19. - - 4 자연캠퍼스 - 119,449 2018.7.27. 2018.7.16. 2018.8.5. - - 5 자연캠퍼스 - 240,000 2018.9.21. 2018.9.28. 2018.11.11. - - 6 자연캠퍼스 - 1,084,600 2018.10.8. 2018.10.15. 2018.11.12. - - 7 자연…"
31,관할청 미신고 건축물 설치,"- 명지대학교는 미상일로부터 2021. 11. 감사일 현재까지 ◘◘시장에게 신고하지 않고 ‘정문 경비실’을 설치하여 경비실로 사용하는 등 【붙임】 “관할청 미신고 건축물 설치현황”과 같이 미상일로부터 2021. 11. 감사일 현재 까지 위 정문 경비실 등 건축물 총 8개동 (연면적 합계 2,452.3㎡) 을 ◘◘시장에게 신고하지 않고 설치하여 경비실 및 사무실 등의 용도로 사용하고 있는",원문 본문 OCR 필요
32,물품관리 부적정,"- 명지대학교 AD은(는) 2017. 2. 20. 취득한 ’노트북 (취득가액 770천원, 규격 iPad Air 2 64GB) ’을 미상일에 손실하고도 물품손실내용을 관련부서에 통보하지 않는 등【붙임】 “물품 손실 현황”과 같이 위 AD 등 2명은 위 ’노트북’ 등 총 2점 (취득가액 합계 1,602천원) 을 손실했음에도 물품 손실내용을 관련부서에 통보하지 않은","경고(2명); 통보 - 물품을 손실 또는 망실한 자에 대해 서는 관련규정에 따 라 조 치 하 기 바 람 【붙임】 물품 손실 현황 (단위 : 천원) 연번 기관명 물품명 모델규격 취득일 취득가액 관련학과 물품 사용자 분실일 (추정) 회계 1 인문캠 퍼스 노트북 - 2017.2.20. 770 - - 2020.3. 교비 2 인문캠 퍼스 노트북 - 2017.9.11. 832 - - 2020.3. 교비 합 계 1,602 감사결과 처분서 기관명 : 명지대학교"
