지적건명,지적내용
"대학 재정 운영 부당","그 결과, 서영대학교는 ｢ 사학기관 재무·회계 규칙｣ 제10조를 위반하여 당해회계 건전성을 저해하는 결과를 초래하였다. 나. 특별상여금 부당 지급 또한, 서영대학교는 위와 같이 적자운영으로, 매년 운영예산이 부족한 상황임에도 그 중 I에게는 특별상여금 총 지급액의 55.7%~59.1%까지 지급하였다. 특히, 2021.부터 2023.까지는 I 등 15명에게 이사회에서 결정한 금액보다 합계 22,000,000원을 초과하여 특별상여금을 지급 하였다. 0000.00.00.) 내부기안 공문에는 결재권자인 C의 도장이 아닌 I의 도장을 날인한 채 그 결과, 서영대학교는 특별상여금 지급에 대한 교비회계 처리의 공정성·형평성을 각하게 훼손하는 결과를 초래하였다. 유흥주점에서 회의비 등 집행 부적정 에서 교직원 개인카드로 결제한 합계 4,152,000원을 그대로 인정하여 집행하였다. 그 결과, 서영대학교는 위 정산내역들이 업무와 관련하여 사용한 내역인지, 개인적 으로 사용한 내역인지 여부를 확인하지 못하는 결과를 초래하였다. 또한, 서영대학교는 2022. 12. 1. ｢ 서영대학교 업무처리비용 집행 규정｣ 으로 업무 제출하였음에도 지급 제한 등 조치 없이 그대로 집행하였다."
"사적 비용 교비회계 청구 부적정","그 결과, 서영대학교는 개인적으로 사용한 금액을 교비회계로 집행하여 학교의 고유 업무가 아닌 목적 외로 집행하는 결과를 초래하였다."
"하이패스카드(업무용 차량) 사적 사용 부당 등","(차량 운전자 AX이 서명한 주유의뢰권 첨부) 유류비를 그대로 집행하였다. 그 결과, 서영대학교는 차량 유지비를 객관적 근거자료에 대한 확인 없이 집행 하여 회계의 건전성을 저해하는 결과를 초래하였다."
"계약제 교원 명절휴가비 지급 부적정",""
"회계연도 개시 전 기숙사 선수금 집행 부적정",""
"예산집행 계정과목 미준수",""
"추가경정예산 편성 전 예산집행 부적정","하도록 하겠다는 의견을 제시하였다."
"홍보비 집행 부적정","그 결과, 서영대학교는 ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제17조 관련 오지급 하는 등 회계처리의 신뢰성을 저해하는 결과를 초래하였다."
"산학협력단 소관 경비 교비회계 집행 부적정",""
"전 이사장 추도식 경비 교비회계 집행 부적정","그런데, 서영대학교는 2023. 1.부터 2023. 3.까지 “전 이사장 추도식 관련 다. 그 결과, 서영대학교는 해당 금액만큼을 학교교육에 직접 필요한 경비 등으로 사용하지 못하게 되는 결과를 초래하였다."
"육아휴직수당 지급 부적정","그 결과, 서영대학교는 ｢ 사립학교법｣ 및 ｢ 사학기관 재무·회계 규칙｣ 을 위반하여 재정 운영의 건전성을 저해하는 결과를 초래하였다."
"시설공사 법정경비 미정산","회수 조치하겠다는 의견을 제시하였다."
"시설사업 전자조달시스템(G2B) 미활용","그 결과, 서영대학교는 ｢ 국가를 당사자로 하는 계약에 관한 법률 시행령｣ 제30조 (견적에 의한 가격결정 등) 제2항을 위반하는 결과를 초래하였다."
"시설공사 분할계약 부적정",""
"시설공사 감독 및 검사 업무 부적정","정산 (총 5건, 18,879천원) 또는 시정조치를 요구하지 않고 준공 처리하였다. 여 준공검사 처리하였다. 공사 금액을 그대로 인정하여 검사처리하고 공사비를 과다 지급하였다."
